market,rank,code,name,minute_trade_date,minute_rows,five_minute_rows,daily_trade_date,daily_rows,status,error
KOSPI,76,016360,삼성증권,2026-04-30,386,82,2026-04-30,1,ok,
KOSPI,77,000880,한화,2026-04-30,384,81,2026-04-30,1,ok,
KOSPI,78,003490,대한항공,2026-04-30,385,82,2026-04-30,1,ok,
KOSPI,79,267270,HD건설기계,2026-04-30,386,83,2026-04-30,1,ok,
KOSPI,80,009830,한화솔루션,2026-04-30,393,85,2026-04-30,1,ok,
KOSPI,81,005387,현대차2우B,2026-04-30,386,82,2026-04-30,1,ok,
KOSPI,82,062040,산일전기,2026-04-30,388,82,2026-04-30,1,ok,
KOSPI,83,090430,아모레퍼시픽,2026-04-30,385,80,2026-04-30,1,ok,
KOSPI,84,066970,엘앤에프,2026-04-30,384,81,2026-04-30,1,ok,
KOSPI,85,326030,SK바이오팜,2026-04-30,383,80,2026-04-30,1,ok,
KOSPI,86,078930,GS,2026-04-30,383,80,2026-04-30,1,ok,
KOSPI,87,377300,카카오페이,2026-04-30,383,80,2026-04-30,1,ok,
KOSPI,88,180640,한진칼,2026-04-30,381,79,2026-04-30,1,ok,
KOSPI,89,082740,한화엔진,2026-04-30,384,81,2026-04-30,1,ok,
KOSPI,90,161390,한국타이어앤테크놀로지,2026-04-30,383,80,2026-04-30,1,ok,
KOSPI,91,000100,유한양행,2026-04-30,387,81,2026-04-30,1,ok,
KOSPI,92,052690,한전기술,2026-04-30,385,82,2026-04-30,1,ok,
KOSPI,93,454910,두산로보틱스,2026-04-30,388,84,2026-04-30,1,ok,
KOSPI,94,241560,두산밥캣,2026-04-30,384,81,2026-04-30,1,ok,
KOSPI,95,000990,DB하이텍,2026-04-30,381,78,2026-04-30,1,ok,
KOSPI,96,010060,OCI홀딩스,2026-04-30,385,82,2026-04-30,1,ok,
KOSPI,97,032640,LG유플러스,2026-04-30,382,79,2026-04-30,1,ok,
KOSPI,98,001040,CJ,2026-04-30,381,78,2026-04-30,1,ok,
KOSPI,99,064400,LG씨엔에스,2026-04-30,384,81,2026-04-30,1,ok,
KOSPI,100,029780,삼성카드,2026-04-30,383,80,2026-04-30,1,ok,
KOSDAQ,1,086520,에코프로,2026-04-30,386,83,2026-04-30,1,ok,
KOSDAQ,2,247540,에코프로비엠,2026-04-30,386,81,2026-04-30,1,ok,
KOSDAQ,3,196170,알테오젠,2026-04-30,384,81,2026-04-30,1,ok,
KOSDAQ,4,277810,레인보우로보틱스,2026-04-30,384,81,2026-04-30,1,ok,
KOSDAQ,5,000250,삼천당제약,2026-04-30,384,80,2026-04-30,1,ok,
KOSDAQ,6,058470,리노공업,2026-04-30,386,82,2026-04-30,1,ok,
KOSDAQ,7,950160,코오롱티슈진,2026-04-30,390,85,2026-04-30,1,ok,
KOSDAQ,8,028300,HLB,2026-04-30,383,80,2026-04-30,1,ok,
KOSDAQ,9,298380,에이비엘바이오,2026-04-30,383,80,2026-04-30,1,ok,
KOSDAQ,10,141080,리가켐바이오,2026-04-30,382,79,2026-04-30,1,ok,
KOSDAQ,11,087010,펩트론,2026-04-30,384,81,2026-04-30,1,ok,
KOSDAQ,12,036930,주성엔지니어링,2026-04-30,406,86,2026-04-30,1,ok,
KOSDAQ,13,039030,이오테크닉스,2026-04-30,387,83,2026-04-30,1,ok,
KOSDAQ,14,240810,원익IPS,2026-04-30,394,85,2026-04-30,1,ok,
KOSDAQ,15,214370,케어젠,2026-04-30,385,83,2026-04-30,1,ok,
KOSDAQ,16,310210,보로노이,2026-04-30,384,80,2026-04-30,1,ok,
KOSDAQ,17,095340,ISC,2026-04-30,384,81,2026-04-30,1,ok,
KOSDAQ,18,108490,로보티즈,2026-04-30,387,83,2026-04-30,1,ok,
KOSDAQ,19,403870,HPSP,2026-04-30,402,86,2026-04-30,1,ok,
KOSDAQ,20,440110,파두,2026-04-30,390,83,2026-04-30,1,ok,
KOSDAQ,21,263750,펄어비스,2026-04-30,383,80,2026-04-30,1,ok,
KOSDAQ,22,032820,우리기술,2026-04-30,410,86,2026-04-30,1,ok,
KOSDAQ,23,214150,클래시스,2026-04-30,382,79,2026-04-30,1,ok,
KOSDAQ,24,357780,솔브레인,2026-04-30,383,80,2026-04-30,1,ok,
KOSDAQ,25,178320,서진시스템,2026-04-30,403,86,2026-04-30,1,ok,
KOSDAQ,26,226950,올릭스,2026-04-30,382,79,2026-04-30,1,ok,
KOSDAQ,27,319400,현대무벡스,2026-04-30,401,85,2026-04-30,1,ok,
KOSDAQ,28,064760,티씨케이,2026-04-30,382,79,2026-04-30,1,ok,
KOSDAQ,29,214450,파마리서치,2026-04-30,383,80,2026-04-30,1,ok,
KOSDAQ,30,347850,디앤디파마텍,2026-04-30,382,79,2026-04-30,1,ok,
KOSDAQ,31,222800,심텍,2026-04-30,386,82,2026-04-30,1,ok,
KOSDAQ,32,237690,에스티팜,2026-04-30,382,79,2026-04-30,1,ok,
KOSDAQ,33,145020,휴젤,2026-04-30,383,80,2026-04-30,1,ok,
KOSDAQ,34,083650,비에이치아이,2026-04-30,383,80,2026-04-30,1,ok,
KOSDAQ,35,084370,유진테크,2026-04-30,386,82,2026-04-30,1,ok,
KOSDAQ,36,005290,동진쎄미켐,2026-04-30,384,81,2026-04-30,1,ok,
KOSDAQ,37,043260,성호전자,2026-04-30,398,84,2026-04-30,1,ok,
KOSDAQ,38,058610,에스피지,2026-04-30,385,81,2026-04-30,1,ok,
KOSDAQ,39,100790,미래에셋벤처투자,2026-04-30,404,86,2026-04-30,1,ok,
KOSDAQ,40,098460,고영,2026-04-30,406,86,2026-04-30,1,ok,
KOSDAQ,41,257720,실리콘투,2026-04-30,382,79,2026-04-30,1,ok,
KOSDAQ,42,031980,피에스케이홀딩스,2026-04-30,384,79,2026-04-30,1,ok,
KOSDAQ,43,140410,메지온,2026-04-30,387,81,2026-04-30,1,ok,
KOSDAQ,44,067310,하나마이크론,2026-04-30,402,86,2026-04-30,1,ok,
KOSDAQ,45,082920,비츠로셀,2026-04-30,393,84,2026-04-30,1,ok,
KOSDAQ,46,319660,피에스케이,2026-04-30,386,82,2026-04-30,1,ok,
KOSDAQ,47,030530,원익홀딩스,2026-04-30,399,84,2026-04-30,1,ok,
KOSDAQ,48,131970,두산테스나,2026-04-30,391,84,2026-04-30,1,ok,
KOSDAQ,49,218410,RFHIC,2026-04-30,384,81,2026-04-30,1,ok,
KOSDAQ,50,068760,셀트리온제약,2026-04-30,360,80,2026-04-30,1,ok,
KOSDAQ,51,078600,대주전자재료,2026-04-30,386,82,2026-04-30,1,ok,
KOSDAQ,52,476830,알지노믹스,2026-04-30,383,80,2026-04-30,1,ok,
KOSDAQ,53,323280,태성,2026-04-30,384,81,2026-04-30,1,ok,
KOSDAQ,54,010170,대한광통신,2026-04-30,409,86,2026-04-30,1,ok,
KOSDAQ,55,035900,JYP Ent.,2026-04-30,382,79,2026-04-30,1,ok,
KOSDAQ,56,041510,에스엠,2026-04-30,382,79,2026-04-30,1,ok,
KOSDAQ,57,101490,에스앤에스텍,2026-04-30,382,79,2026-04-30,1,ok,
KOSDAQ,58,089030,테크윙,2026-04-30,399,86,2026-04-30,1,ok,
KOSDAQ,59,347700,스피어,2026-04-30,387,82,2026-04-30,1,ok,
KOSDAQ,60,417200,LS머트리얼즈,2026-04-30,409,86,2026-04-30,1,ok,
KOSDAQ,61,140860,파크시스템스,2026-04-30,382,79,2026-04-30,1,ok,
KOSDAQ,62,060370,LS마린솔루션,2026-04-30,382,79,2026-04-30,1,ok,
KOSDAQ,63,039200,오스코텍,2026-04-30,381,79,2026-04-30,1,ok,
KOSDAQ,64,475830,오름테라퓨틱,2026-04-30,380,78,2026-04-30,1,ok,
KOSDAQ,65,131290,티에스이,2026-04-30,383,80,2026-04-30,1,ok,
KOSDAQ,66,038500,삼표시멘트,2026-04-30,401,85,2026-04-30,1,ok,
