market,rank,code,name
KOSDAQ,74,437730,삼현
KOSDAQ,75,095610,테스
KOSDAQ,76,065350,신성델타테크
KOSDAQ,77,085660,차바이오텍
KOSDAQ,78,290650,엘앤씨바이오
KOSDAQ,79,281740,레이크머티리얼즈
KOSDAQ,80,090710,휴림로봇
KOSDAQ,81,036830,솔브레인홀딩스
KOSDAQ,82,166090,하나머티리얼즈
KOSDAQ,83,195940,HK이노엔
KOSDAQ,84,183300,코미코
KOSDAQ,85,003380,하림지주
KOSDAQ,86,490470,세미파이브
KOSDAQ,87,052020,에스티큐브
KOSDAQ,88,189300,인텔리안테크
KOSDAQ,89,456160,지투지바이오
KOSDAQ,90,127120,제이에스링크
KOSDAQ,91,115180,큐리언트
KOSDAQ,92,397030,에이프릴바이오
KOSDAQ,93,036540,SFA반도체
KOSDAQ,94,160190,하이젠알앤엠
KOSDAQ,95,388210,씨엠티엑스
KOSDAQ,96,222080,씨아이에스
KOSDAQ,97,137400,피엔티
KOSDAQ,98,420770,기가비스
KOSDAQ,99,089970,브이엠
KOSDAQ,100,048410,현대바이오
